db_table,columns,dashboards
adminifi_data.datafi_exports,[],{'DownloadAnalytics': 'https://tableau.everfiapps-dev.net/#/views/DownloadAnalyticsProd/DownloadAnalytics'}
ods.dim_evaluations,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
ods.dim_evaluations,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
ods.dim_organizations,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
ods.dim_organizations,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
homeroom_data.sponsorships,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
homeroom_data.sponsorships,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
reporting_data.drinker_category_data,"['answer_id', 'answer_text', 'content_id', 'content_name', 'date_key', 'evaluation_id', 'evaluation_labels', 'evaluation_name', 'evaluation_type', 'is_scorm', 'lob_rls_id', 'masked_user_id', 'organization_id', 'organization_name', 'question_id', 'question_labels', 'question_slug', 'question_text', 'question_type', 'response_id', 'response_set_count', 'response_set_created_at', 'response_type', 'section_id', 'section_labels', 'section_title', 'student_engagement_question']","{'Migration Testing Dashboard': 'https://tableau.everfiapps-dev.net/#/views/MigrationTestingWorkbook/MigrationTestingDashboard', 'Drinker-Category': 'https://tableau.everfiapps-dev.net/#/views/DrinkerCategoryCSVDowload/Drinker-Category'}"
reporting_data.drinker_category_data,"['answer_id', 'answer_text', 'content_id', 'content_name', 'date_key', 'evaluation_id', 'evaluation_labels', 'evaluation_name', 'evaluation_type', 'is_scorm', 'lob_rls_id', 'masked_user_id', 'organization_id', 'organization_name', 'question_id', 'question_labels', 'question_slug', 'question_text', 'question_type', 'response_id', 'response_set_count', 'response_set_created_at', 'response_type', 'section_id', 'section_labels', 'section_title', 'student_engagement_question']","{'Migration Testing Dashboard': 'https://tableau.everfiapps-dev.net/#/views/MigrationTestingWorkbook/MigrationTestingDashboard', 'Drinker-Category': 'https://tableau.everfiapps-dev.net/#/views/DrinkerCategoryCSVDowload/Drinker-Category'}"
reporting_data.drinker_category_data,"['answer_id', 'answer_text', 'content_id', 'content_name', 'date_key', 'evaluation_id', 'evaluation_labels', 'evaluation_name', 'evaluation_type', 'is_scorm', 'lob_rls_id', 'masked_user_id', 'organization_id', 'organization_name', 'question_id', 'question_labels', 'question_slug', 'question_text', 'question_type', 'response_id', 'response_set_count', 'response_set_created_at', 'response_type', 'section_id', 'section_labels', 'section_title', 'student_engagement_question']","{'Migration Testing Dashboard': 'https://tableau.everfiapps-dev.net/#/views/MigrationTestingWorkbook/MigrationTestingDashboard', 'Drinker-Category': 'https://tableau.everfiapps-dev.net/#/views/DrinkerCategoryCSVDowload/Drinker-Category'}"
adminifi_data.organizations,[],{'CEos': 'https://tableau.everfiapps-dev.net/#/views/CEos-Truist/CEos'}
reporting_data.atwork_program_poll_response_activity_report_data,[],{'Learner Response Analysis': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysis_15845526459980/LearnerResponseAnalysis'}
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.assigned_learning_evaluation_benchmark,[],"{'Survey Data': 'https://tableau.everfiapps-dev.net/#/views/SurveyResultsbyQuestionTwoTableaRLS/SurveyData', 'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}"
reporting_data.program_traffic_visits_report_data,[],{'Elective Learning Traffic': 'https://tableau.everfiapps-dev.net/#/views/ElectiveLearningActivitySummary/ElectiveLearningTraffic'}
reporting_data.program_traffic_visits_report_data,[],{'Elective Learning Traffic': 'https://tableau.everfiapps-dev.net/#/views/ElectiveLearningActivitySummary/ElectiveLearningTraffic'}
ods.dim_programs,"['active', 'audience_id', 'audience_name', 'city', 'parent_program_id', 'program_create_date', 'program_delete_date', 'program_end_at', 'program_id', 'program_key', 'program_launch_at', 'program_name', 'program_slug', 'program_type', 'program_update_date', 'promotional_strategy_id', 'promotional_strategy_name', 'sourcesystem_id', 'start_date', 'state']",{'visits': 'https://tableau.everfiapps-dev.net/#/views/SiteTrafficDistributionstabpy/visits'}
reporting_data.sponsored_learning_enrollment_activities,[],{'CEos': 'https://tableau.everfiapps-dev.net/#/views/CEos-Truist/CEos'}
josh_ods.emotifi_tableau_v,"['agerange_high', 'agerange_low', 'beard_confidence', 'beard_value', 'boundingbox_height', 'boundingbox_left', 'boundingbox_top', 'boundingbox_width', 'confidence', 'emotions_confidence', 'emotions_type', 'eyeglasses_confidence', 'eyeglasses_value', 'eyesopen_confidence', 'eyesopen_value', 'gender_confidence', 'gender_value', 'image_id', 'mouthopen_confidence', 'mouthopen_value', 'mustache_confidence', 'mustache_value', 'pose_pitch', 'pose_roll', 'pose_yaw', 'quality_brightness', 'quality_sharpness', 'rekog_at', 'seed_image_name', 'smile_confidence', 'smile_value', 'sunglasses_confidence', 'sunglasses_value']","{'Ray - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Happy', 'Emotifi Dashboard (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardlive', 'Ray - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Angry', 'Matt - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Matt-Sad', 'Tom - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Tom-Happy', 'Sean - Surprised': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Sean-Surprised', 'Average Results Per Emotion (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotionlive', 'Erik - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Erik-Sad', 'Gerald - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerald-Angry', 'Nian Li - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/NianLi-Happy', 'Gwen - Calm': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gwen-Calm', 'Average Results Per Emotion': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotion', 'Charles - Disgusted': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Charles-Disgusted', 'Emotifi Dashboard (engineers)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardengineers', 'Gerry - Confused': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerry-Confused'}"
josh_ods.emotifi_tableau_v,"['agerange_high', 'agerange_low', 'beard_confidence', 'beard_value', 'boundingbox_height', 'boundingbox_left', 'boundingbox_top', 'boundingbox_width', 'confidence', 'emotions_confidence', 'emotions_type', 'eyeglasses_confidence', 'eyeglasses_value', 'eyesopen_confidence', 'eyesopen_value', 'gender_confidence', 'gender_value', 'image_id', 'mouthopen_confidence', 'mouthopen_value', 'mustache_confidence', 'mustache_value', 'pose_pitch', 'pose_roll', 'pose_yaw', 'quality_brightness', 'quality_sharpness', 'rekog_at', 'seed_image_name', 'smile_confidence', 'smile_value', 'sunglasses_confidence', 'sunglasses_value']","{'Ray - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Happy', 'Emotifi Dashboard (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardlive', 'Ray - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Angry', 'Matt - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Matt-Sad', 'Tom - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Tom-Happy', 'Sean - Surprised': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Sean-Surprised', 'Average Results Per Emotion (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotionlive', 'Erik - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Erik-Sad', 'Gerald - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerald-Angry', 'Nian Li - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/NianLi-Happy', 'Gwen - Calm': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gwen-Calm', 'Average Results Per Emotion': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotion', 'Charles - Disgusted': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Charles-Disgusted', 'Emotifi Dashboard (engineers)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardengineers', 'Gerry - Confused': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerry-Confused'}"
josh_ods.emotifi_tableau_v,"['agerange_high', 'agerange_low', 'beard_confidence', 'beard_value', 'boundingbox_height', 'boundingbox_left', 'boundingbox_top', 'boundingbox_width', 'confidence', 'emotions_confidence', 'emotions_type', 'eyeglasses_confidence', 'eyeglasses_value', 'eyesopen_confidence', 'eyesopen_value', 'gender_confidence', 'gender_value', 'image_id', 'mouthopen_confidence', 'mouthopen_value', 'mustache_confidence', 'mustache_value', 'pose_pitch', 'pose_roll', 'pose_yaw', 'quality_brightness', 'quality_sharpness', 'rekog_at', 'seed_image_name', 'smile_confidence', 'smile_value', 'sunglasses_confidence', 'sunglasses_value']","{'Ray - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Happy', 'Emotifi Dashboard (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardlive', 'Ray - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Angry', 'Matt - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Matt-Sad', 'Tom - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Tom-Happy', 'Sean - Surprised': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Sean-Surprised', 'Average Results Per Emotion (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotionlive', 'Erik - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Erik-Sad', 'Gerald - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerald-Angry', 'Nian Li - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/NianLi-Happy', 'Gwen - Calm': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gwen-Calm', 'Average Results Per Emotion': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotion', 'Charles - Disgusted': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Charles-Disgusted', 'Emotifi Dashboard (engineers)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardengineers', 'Gerry - Confused': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerry-Confused'}"
josh_ods.emotifi_tableau_v,"['agerange_high', 'agerange_low', 'beard_confidence', 'beard_value', 'boundingbox_height', 'boundingbox_left', 'boundingbox_top', 'boundingbox_width', 'confidence', 'emotions_confidence', 'emotions_type', 'eyeglasses_confidence', 'eyeglasses_value', 'eyesopen_confidence', 'eyesopen_value', 'gender_confidence', 'gender_value', 'image_id', 'mouthopen_confidence', 'mouthopen_value', 'mustache_confidence', 'mustache_value', 'pose_pitch', 'pose_roll', 'pose_yaw', 'quality_brightness', 'quality_sharpness', 'rekog_at', 'seed_image_name', 'smile_confidence', 'smile_value', 'sunglasses_confidence', 'sunglasses_value']","{'Ray - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Happy', 'Emotifi Dashboard (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardlive', 'Ray - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Angry', 'Matt - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Matt-Sad', 'Tom - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Tom-Happy', 'Sean - Surprised': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Sean-Surprised', 'Average Results Per Emotion (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotionlive', 'Erik - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Erik-Sad', 'Gerald - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerald-Angry', 'Nian Li - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/NianLi-Happy', 'Gwen - Calm': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gwen-Calm', 'Average Results Per Emotion': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotion', 'Charles - Disgusted': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Charles-Disgusted', 'Emotifi Dashboard (engineers)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardengineers', 'Gerry - Confused': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerry-Confused'}"
josh_ods.emotifi_tableau_v,"['agerange_high', 'agerange_low', 'beard_confidence', 'beard_value', 'boundingbox_height', 'boundingbox_left', 'boundingbox_top', 'boundingbox_width', 'confidence', 'emotions_confidence', 'emotions_type', 'eyeglasses_confidence', 'eyeglasses_value', 'eyesopen_confidence', 'eyesopen_value', 'gender_confidence', 'gender_value', 'image_id', 'mouthopen_confidence', 'mouthopen_value', 'mustache_confidence', 'mustache_value', 'pose_pitch', 'pose_roll', 'pose_yaw', 'quality_brightness', 'quality_sharpness', 'rekog_at', 'seed_image_name', 'smile_confidence', 'smile_value', 'sunglasses_confidence', 'sunglasses_value']","{'Ray - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Happy', 'Emotifi Dashboard (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardlive', 'Ray - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Ray-Angry', 'Matt - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Matt-Sad', 'Tom - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Tom-Happy', 'Sean - Surprised': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Sean-Surprised', 'Average Results Per Emotion (live)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotionlive', 'Erik - Sad': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Erik-Sad', 'Gerald - Angry': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerald-Angry', 'Nian Li - Happy': 'https://tableau.everfiapps-dev.net/#/views/emotifi/NianLi-Happy', 'Gwen - Calm': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gwen-Calm', 'Average Results Per Emotion': 'https://tableau.everfiapps-dev.net/#/views/emotifi/AverageResultsPerEmotion', 'Charles - Disgusted': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Charles-Disgusted', 'Emotifi Dashboard (engineers)': 'https://tableau.everfiapps-dev.net/#/views/emotifi/EmotifiDashboardengineers', 'Gerry - Confused': 'https://tableau.everfiapps-dev.net/#/views/emotifi/Gerry-Confused'}"
